Country.EIA;Country
Congo (Kinshasa);Democratic Republic of the Congo
Cote dIvoire (IvoryCoast);Côte d'Ivoire
Djibouti;Djibouti
Egypt;Egypt
Equatorial Guinea;Equatorial Guinea
Eritrea;Eritrea
Ethiopia;Ethiopia
Gabon;Gabon
Gambia, The;Gambia
Ghana;Ghana
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Kenya;Kenya
Lesotho;Lesotho
Liberia;Liberia
Libya;Libya
Madagascar;Madagascar
Malawi;Malawi
Mali;Mali
Mauritania;Mauritania
Mauritius;Mauritius
Morocco;Morocco
Mozambique;Mozambique
Namibia;Namibia
Niger;Niger
Nigeria;Nigeria
Reunion;Réunion
Rwanda;Rwanda
Saint Helena;Saint Helena, Ascension and Tristan da Cunha
Sao Tome and Principe;Sao Tome and Principe
Senegal;Senegal
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Somalia;Somalia
South Africa;South Africa
Sudan and South Sudan;Sudan (former)
Swaziland;Swaziland
Tanzania;United Republic of Tanzania
Togo;Togo
Tunisia;Tunisia
Uganda;Uganda
Western Sahara;Western Sahara
Zambia;Zambia
Zimbabwe;Zimbabwe
Asia & Oceania;NA
Afghanistan;Afghanistan
American Samoa;American Samoa
Australia;Australia
Bangladesh;Bangladesh
Bhutan;Bhutan
Brunei;Brunei Darussalam
Burma (Myanmar);Myanmar
Cambodia;Cambodia
China;China, mainland
Cook Islands;Cook Islands
Fiji;Fiji
French Polynesia;French Polynesia
Guam;Guam
Hawaiian Trade Zone;NA
Hong Kong;China, Hong Kong SAR
India;India
Indonesia;Indonesia
Japan;Japan
Kiribati;Kiribati
Korea, North;Democratic People's Republic of Korea
Korea, South;Republic of Korea
Laos;Lao People's Democratic Republic
Macau;China, Macao SAR
Malaysia;Malaysia
Maldives;Maldives
Mongolia;Mongolia
Nauru;Nauru
Nepal;Nepal
New Caledonia;New Caledonia
New Zealand;New Zealand
Niue;Niue
Pakistan;Pakistan
Papua New Guinea;Papua New Guinea
Philippines;Philippines
Samoa;Samoa
Singapore;Singapore
Solomon Islands;Solomon Islands
Sri Lanka;Sri Lanka
Taiwan;China, Taiwan Province of
Thailand;Thailand
Timor-Leste (East Timor);Timor-Leste
Tonga;Tonga
U.S. Pacific Islands;United States of America
Vanuatu;Vanuatu
Vietnam;Viet Nam
Wake Island;Wake Island
World;NA
