Country.COMTRADE;Country
Libya;Libya
Lithuania;Lithuania
Luxembourg;Luxembourg
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malaysia
Maldives;Maldives
Mali;Mali
Malta;Malta
Marshall Isds;Marshall Islands
Martinique;Martinique
Mauritania;Mauritania
Mauritius;Mauritius
Mayotte;Mayotte
Mexico;Mexico
Mongolia;Mongolia
Montenegro;Montenegro
Montserrat;Montserrat
Morocco;Morocco
Mozambique;Mozambique
Myanmar;Myanmar
N. Mariana Isds;Northern Mariana Islands
Namibia;Namibia
Nepal;Nepal
Neth. Antilles;Netherlands Antilles
Netherlands;Netherlands
New Caledonia;New Caledonia
New Zealand;New Zealand
Nicaragua;Nicaragua
Niger;Niger
Nigeria;Nigeria
Norway;Norway
Oman;Oman
Other Asia, nes;Unspecified
Pakistan;Pakistan
Palau;Palau
Panama;Panama
Papua New Guinea;Papua New Guinea
Paraguay;Paraguay
Peru;Peru
Philippines;Philippines
Poland;Poland
Portugal;Portugal
Qatar;Qatar
Réunion;R�union
Rep. of Korea;Republic of Korea
Rep. of Moldova;Republic of Moldova
Romania;Romania
Russian Federation;Russian Federation
Rwanda;Rwanda
Saint Barthélemy;French Southern and Antarctic Territories
Saint Helena;Saint Helena, Ascension and Tristan da Cunha
Saint Kitts and Nevis;Saint Kitts and Nevis
Saint Lucia;Saint Lucia
Saint Maarten;Netherlands Antilles
Saint Pierre and Miquelon;Saint Pierre and Miquelon
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines
Samoa;Samoa
San Marino;San Marino
Sao Tome and Principe;Sao Tome and Principe
Saudi Arabia;Saudi Arabia
Senegal;Senegal
Serbia;Serbia
Serbia and Montenegro;Serbia and Montenegro
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Singapore;Singapore
Slovakia;Slovakia
Slovenia;Slovenia
So. African Customs Union;NA
Solomon Isds;Solomon Islands
Somalia;Somalia
South Africa;South Africa
South Sudan;South Sudan
Spain;Spain
Sri Lanka;Sri Lanka
State of Palestine;Occupied Palestinian Territory
Sudan;Sudan
Suriname;Suriname
Swaziland;Swaziland
Sweden;Sweden
Switzerland;Switzerland
Syria;Syrian Arab Republic
Tajikistan;Tajikistan
TFYR of Macedonia;The former Yugoslav Republic of Macedonia
Thailand;Thailand
Timor-Leste;Timor-Leste
Togo;Togo
Tokelau;Tokelau
Tonga;Tonga
Trinidad and Tobago;Trinidad and Tobago
Tunisia;Tunisia
Turkey;Turkey
Turkmenistan;Turkmenistan
Turks and Caicos Isds;Turks and Caicos Islands
Tuvalu;Tuvalu
Uganda;Uganda
Ukraine;Ukraine
United Arab Emirates;United Arab Emirates
United Kingdom;United Kingdom
United Rep. of Tanzania;United Republic of Tanzania
Uruguay;Uruguay
USA;United States of America
Uzbekistan;Uzbekistan
Vanuatu;Vanuatu
Venezuela;Venezuela (Bolivarian Republic of)
Viet Nam;Viet Nam
Wallis and Futuna Isds;Wallis and Futuna Islands
Yemen;Yemen
Zambia;Zambia
Zimbabwe;Zimbabwe
