From.Country.Code;From.Country;From.ISO;Com.Code;value
49;Cuba;CUB;Rice (Milled Equivalent);2.09012972694738e-10
50;Cyprus;CYP;Rice (Milled Equivalent);5.14204553945151e-09
167;Czech Republic;CZE;Rice (Milled Equivalent);1.17542067545296e-09
79;Germany;DEU;Rice (Milled Equivalent);1.64244622520023e-08
72;Djibouti;DJI;Rice (Milled Equivalent);3.04174945150067e-14
55;Dominica;DMA;Rice (Milled Equivalent);2.1206008776749e-10
54;Denmark;DNK;Rice (Milled Equivalent);2.14039063902619e-09
56;Dominican Republic;DOM;Rice (Milled Equivalent);144.102042298642
4;Algeria;DZA;Rice (Milled Equivalent);0.60027550456828
58;Ecuador;ECU;Rice (Milled Equivalent);9.64072233393182
59;Egypt;EGY;Rice (Milled Equivalent);3140.97505149312
178;Eritrea;ERI;Rice (Milled Equivalent);-2.313519658794e-08
203;Spain;ESP;Rice (Milled Equivalent);44815.3002301773
63;Estonia;EST;Rice (Milled Equivalent);3.71257778541707e-10
238;Ethiopia;ETH;Rice (Milled Equivalent);8.16340262138723e-07
67;Finland;FIN;Rice (Milled Equivalent);-2.50550779671803e-09
66;Fiji;FJI;Rice (Milled Equivalent);0.27900808176088
68;France;FRA;Rice (Milled Equivalent);10231.9009320273
74;Gabon;GAB;Rice (Milled Equivalent);7.30221480301749e-07
229;United Kingdom;GBR;Rice (Milled Equivalent);1.12056309834808e-10
73;Georgia;GEO;Rice (Milled Equivalent);-1.44972348408143e-10
81;Ghana;GHA;Rice (Milled Equivalent);1.4838602201127e-10
90;Guinea;GIN;Rice (Milled Equivalent);4.2789648026938e-05
75;Gambia;GMB;Rice (Milled Equivalent);1.06388027776886e-06
175;Guinea-Bissau;GNB;Rice (Milled Equivalent);4.11896783034425e-18
84;Greece;GRC;Rice (Milled Equivalent);15292.9709121905
86;Grenada;GRD;Rice (Milled Equivalent);-3.35250831119833e-10
89;Guatemala;GTM;Rice (Milled Equivalent);5.28860245351523
91;Guyana;GUY;Rice (Milled Equivalent);9311.24767293168
96;China, Hong Kong SAR;HKG;Rice (Milled Equivalent);3.87344588116611e-14
95;Honduras;HND;Rice (Milled Equivalent);0.000325835218233164
98;Croatia;HRV;Rice (Milled Equivalent);1.41706797256636e-08
93;Haiti;HTI;Rice (Milled Equivalent);9.81671863737095e-15
97;Hungary;HUN;Rice (Milled Equivalent);1264.61193832987
101;Indonesia;IDN;Rice (Milled Equivalent);147.803622620147
100;India;IND;Rice (Milled Equivalent);104394.897008232
104;Ireland;IRL;Rice (Milled Equivalent);1.71675985944811e-10
102;Iran (Islamic Republic of);IRN;Rice (Milled Equivalent);59.9793810833894
103;Iraq;IRQ;Rice (Milled Equivalent);8.03467650838459e-09
99;Iceland;ISL;Rice (Milled Equivalent);-1.54958851526105e-09
105;Israel;ISR;Rice (Milled Equivalent);1.12664170149703e-10
106;Italy;ITA;Rice (Milled Equivalent);119613.429575508
109;Jamaica;JAM;Rice (Milled Equivalent);0.140636697925723
112;Jordan;JOR;Rice (Milled Equivalent);-4.53376578569386e-11
110;Japan;JPN;Rice (Milled Equivalent);119.422479356529
108;Kazakhstan;KAZ;Rice (Milled Equivalent);105.920404065111
114;Kenya;KEN;Rice (Milled Equivalent);0.00267462720961424
113;Kyrgyzstan;KGZ;Rice (Milled Equivalent);0.64817214292711
115;Cambodia;KHM;Rice (Milled Equivalent);34021.9999937616
83;Kiribati;KIR;Rice (Milled Equivalent);-3.65549459243798e-11
188;Saint Kitts and Nevis;KNA;Rice (Milled Equivalent);-2.22916630951621e-19
117;Republic of Korea;KOR;Rice (Milled Equivalent);16.7401330221609
118;Kuwait;KWT;Rice (Milled Equivalent);-1.15118656126335e-11
120;Lao People's Democratic Republic;LAO;Rice (Milled Equivalent);-1.82389195352267e-11
121;Lebanon;LBN;Rice (Milled Equivalent);4.89692018189743e-10
123;Liberia;LBR;Rice (Milled Equivalent);0.00382697391371326
124;Libya;LBY;Rice (Milled Equivalent);3.10422948705614e-08
189;Saint Lucia;LCA;Rice (Milled Equivalent);-3.61447029948269e-11
38;Sri Lanka;LKA;Rice (Milled Equivalent);31.7405356337741
122;Lesotho;LSO;Rice (Milled Equivalent);-1.86405810878159e-09
126;Lithuania;LTU;Rice (Milled Equivalent);6.8070598263477e-10
256;Luxembourg;LUX;Rice (Milled Equivalent);1.10145602529719e-12
119;Latvia;LVA;Rice (Milled Equivalent);8.30859359282508e-09
128;China, Macao SAR;MAC;Rice (Milled Equivalent);0
143;Morocco;MAR;Rice (Milled Equivalent);18.3707636731525
146;Republic of Moldova;MDA;Rice (Milled Equivalent);-2.72339290760939e-09
129;Madagascar;MDG;Rice (Milled Equivalent);0.931774834867326
132;Maldives;MDV;Rice (Milled Equivalent);0
138;Mexico;MEX;Rice (Milled Equivalent);1.46988538377285
154;The former Yugoslav Republic of Macedonia;MKD;Rice (Milled Equivalent);235.919411398969
133;Mali;MLI;Rice (Milled Equivalent);0.00218735390039898
134;Malta;MLT;Rice (Milled Equivalent);-4.38685576189581e-09
28;Myanmar;MMR;Rice (Milled Equivalent);6862.71660170191
273;Montenegro;MNE;Rice (Milled Equivalent);-2.4255411992305e-14
141;Mongolia;MNG;Rice (Milled Equivalent);-4.21387418685217e-10
144;Mozambique;MOZ;Rice (Milled Equivalent);3.61000848281072e-07
136;Mauritania;MRT;Rice (Milled Equivalent);-1.53007566764768e-10
137;Mauritius;MUS;Rice (Milled Equivalent);0.0889672871106252
130;Malawi;MWI;Rice (Milled Equivalent);14.3659355762523
131;Malaysia;MYS;Rice (Milled Equivalent);505.050783493498
147;Namibia;NAM;Rice (Milled Equivalent);5.54054771579846e-11
153;New Caledonia;NCL;Rice (Milled Equivalent);1.72823953596938e-09
158;Niger;NER;Rice (Milled Equivalent);112.137677413965
159;Nigeria;NGA;Rice (Milled Equivalent);-4.03242532167204e-11
157;Nicaragua;NIC;Rice (Milled Equivalent);0.00711105384853629
150;Netherlands;NLD;Rice (Milled Equivalent);3.62867552951577e-09
162;Norway;NOR;Rice (Milled Equivalent);6.06932521159332e-09
149;Nepal;NPL;Rice (Milled Equivalent);3.56540532007712
156;New Zealand;NZL;Rice (Milled Equivalent);2.29000508005433e-10
221;Oman;OMN;Rice (Milled Equivalent);-5.83955957341637e-10
165;Pakistan;PAK;Rice (Milled Equivalent);39345.6446912434
166;Panama;PAN;Rice (Milled Equivalent);9.70244921615843e-06
170;Peru;PER;Rice (Milled Equivalent);7.89264136799016e-05
171;Philippines;PHL;Rice (Milled Equivalent);21.5351452811882
168;Papua New Guinea;PNG;Rice (Milled Equivalent);4.60020928746274e-07
173;Poland;POL;Rice (Milled Equivalent);1.78584468012564e-10
177;Puerto Rico;PRI;Rice (Milled Equivalent);0
116;Democratic People's Republic of Korea;PRK;Rice (Milled Equivalent);1.6363465296515e-09
174;Portugal;PRT;Rice (Milled Equivalent);17721.9855391331
169;Paraguay;PRY;Rice (Milled Equivalent);2040.41071025934
70;French Polynesia;PYF;Rice (Milled Equivalent);-3.08530538434921e-11
179;Qatar;QAT;Rice (Milled Equivalent);7.34179027670994e-11
183;Romania;ROU;Rice (Milled Equivalent);6671.31760451398
999;RoW;ROW;Rice (Milled Equivalent);0.495568953367789
185;Russian Federation;RUS;Rice (Milled Equivalent);225.41194870957
184;Rwanda;RWA;Rice (Milled Equivalent);4.7826730392432
194;Saudi Arabia;SAU;Rice (Milled Equivalent);1.05333331376822e-11
186;Serbia and Montenegro;SCG;Rice (Milled Equivalent);0
276;Sudan;SDN;Rice (Milled Equivalent);-3.23958081604128e-11
195;Senegal;SEN;Rice (Milled Equivalent);15.4929362214403
200;Singapore;SGP;Rice (Milled Equivalent);4.6202581912579e-15
25;Solomon Islands;SLB;Rice (Milled Equivalent);3.30762153036071e-07
197;Sierra Leone;SLE;Rice (Milled Equivalent);-4.91008337674067e-16
60;El Salvador;SLV;Rice (Milled Equivalent);2.12494502459467
201;Somalia;SOM;Rice (Milled Equivalent);-2.98992445282518e-13
272;Serbia;SRB;Rice (Milled Equivalent);7.32938127969268e-10
277;South Sudan;SSD;Rice (Milled Equivalent);0
193;Sao Tome and Principe;STP;Rice (Milled Equivalent);-4.36063505340711e-14
228;USSR;SUN;Rice (Milled Equivalent);0
207;Suriname;SUR;Rice (Milled Equivalent);3054.0060427589
199;Slovakia;SVK;Rice (Milled Equivalent);3.03727310327599e-11
198;Slovenia;SVN;Rice (Milled Equivalent);-1.85341182396697e-09
210;Sweden;SWE;Rice (Milled Equivalent);-9.29652677985577e-09
209;Swaziland;SWZ;Rice (Milled Equivalent);1.40959590247133e-06
212;Syrian Arab Republic;SYR;Rice (Milled Equivalent);4.35423345659495e-10
39;Chad;TCD;Rice (Milled Equivalent);-6.56747367291989e-10
217;Togo;TGO;Rice (Milled Equivalent);325.069799660665
216;Thailand;THA;Rice (Milled Equivalent);69737.0834543118
208;Tajikistan;TJK;Rice (Milled Equivalent);0.00318243657096569
213;Turkmenistan;TKM;Rice (Milled Equivalent);2.47838181468598e-12
176;Timor-Leste;TLS;Rice (Milled Equivalent);1.01870913715887e-13
220;Trinidad and Tobago;TTO;Rice (Milled Equivalent);65.5654355267865
222;Tunisia;TUN;Rice (Milled Equivalent);2.10179928532848e-10
223;Turkey;TUR;Rice (Milled Equivalent);8.95394900509913
214;China, Taiwan Province of;TWN;Rice (Milled Equivalent);28.3446183691944
215;United Republic of Tanzania;TZA;Rice (Milled Equivalent);122.203995604243
226;Uganda;UGA;Rice (Milled Equivalent);630.095009936932
230;Ukraine;UKR;Rice (Milled Equivalent);9.35984230988528
234;Uruguay;URY;Rice (Milled Equivalent);11152.563446031
231;United States of America;USA;Rice (Milled Equivalent);4647.705184782
235;Uzbekistan;UZB;Rice (Milled Equivalent);4.34388781427866e-12
191;Saint Vincent and the Grenadines;VCT;Rice (Milled Equivalent);3.38418884849474e-08
236;Venezuela (Bolivarian Republic of);VEN;Rice (Milled Equivalent);-1.83622426552482e-11
237;Viet Nam;VNM;Rice (Milled Equivalent);13962.7430634051
155;Vanuatu;VUT;Rice (Milled Equivalent);-9.49502920103878e-09
244;Samoa;WSM;Rice (Milled Equivalent);4.45258953243828e-14
249;Yemen;YEM;Rice (Milled Equivalent);-1.51747693387058e-09
248;Yugoslav SFR;YUG;Rice (Milled Equivalent);0
202;South Africa;ZAF;Rice (Milled Equivalent);8.35471064947862
251;Zambia;ZMB;Rice (Milled Equivalent);4.28327472301948
181;Zimbabwe;ZWE;Rice (Milled Equivalent);0.000139956843198321
2;Afghanistan;AFG;Wheat and products;-1.56076504997548e-08
7;Angola;AGO;Wheat and products;3.11977469096939
3;Albania;ALB;Wheat and products;190.861137567572
151;Netherlands Antilles;ANT;Wheat and products;0
225;United Arab Emirates;ARE;Wheat and products;0.0464871045293469
9;Argentina;ARG;Wheat and products;382.387435150555
1;Armenia;ARM;Wheat and products;6.73150659651535
8;Antigua and Barbuda;ATG;Wheat and products;1.65221695801372e-09
10;Australia;AUS;Wheat and products;142408.621993878
11;Austria;AUT;Wheat and products;193389.150151679
52;Azerbaijan;AZE;Wheat and products;1.93488547653549
29;Burundi;BDI;Wheat and products;0.118058048712617
255;Belgium;BEL;Wheat and products;73892.7802010931
53;Benin;BEN;Wheat and products;-1.20452568742893e-08
233;Burkina Faso;BFA;Wheat and products;-7.73068994947333e-10
16;Bangladesh;BGD;Wheat and products;396.592726798069
27;Bulgaria;BGR;Wheat and products;425393.153630368
13;Bahrain;BHR;Wheat and products;8.51329776964061e-10
12;Bahamas;BHS;Wheat and products;-3.37282841515416e-10
80;Bosnia and Herzegovina;BIH;Wheat and products;1274.75939224852
57;Belarus;BLR;Wheat and products;2340.49813012417
15;Belgium-Luxembourg;BLX;Wheat and products;0
23;Belize;BLZ;Wheat and products;1.29652311749269e-07
19;Bolivia (Plurinational State of);BOL;Wheat and products;106.63098971472
21;Brazil;BRA;Wheat and products;39812.6364200023
14;Barbados;BRB;Wheat and products;2.44117048471501e-07
26;Brunei Darussalam;BRN;Wheat and products;-2.36351867709582e-10
20;Botswana;BWA;Wheat and products;-4.77530737895958e-11
37;Central African Republic;CAF;Wheat and products;0
33;Canada;CAN;Wheat and products;225232.574712756
211;Switzerland;CHE;Wheat and products;310.72605965497
40;Chile;CHL;Wheat and products;363.327590963759
41;China, mainland;CHN;Wheat and products;1349.84635986165
107;Côte d'Ivoire;CIV;Wheat and products;3.8864222651677e-09
32;Cameroon;CMR;Wheat and products;81.9860294579258
250;Democratic Republic of the Congo;COD;Wheat and products;216.198656469128
46;Congo;COG;Wheat and products;-1.08989655666861e-07
44;Colombia;COL;Wheat and products;20.8948614816319
35;Cabo Verde;CPV;Wheat and products;2.39231317584486e-09
48;Costa Rica;CRI;Wheat and products;-1.51511623173072e-09
51;Czechoslovakia;CSK;Wheat and products;0
49;Cuba;CUB;Wheat and products;-4.13075657276797e-09
50;Cyprus;CYP;Wheat and products;4105.41407013668
167;Czech Republic;CZE;Wheat and products;382847.863117664
79;Germany;DEU;Wheat and products;1381102.93556231
72;Djibouti;DJI;Wheat and products;1.08458083217288e-11
55;Dominica;DMA;Wheat and products;-9.34819775990055e-08
54;Denmark;DNK;Wheat and products;59664.4141324341
56;Dominican Republic;DOM;Wheat and products;1.45376540059987e-08
4;Algeria;DZA;Wheat and products;0.554270833239817
58;Ecuador;ECU;Wheat and products;136.300710655877
59;Egypt;EGY;Wheat and products;9.65444210073226
178;Eritrea;ERI;Wheat and products;-3.16466136473289e-07
203;Spain;ESP;Wheat and products;830021.399796287
63;Estonia;EST;Wheat and products;25437.3681125083
238;Ethiopia;ETH;Wheat and products;18.4695951240272
67;Finland;FIN;Wheat and products;115218.545187517
66;Fiji;FJI;Wheat and products;1.47247367120999e-08
68;France;FRA;Wheat and products;1693197.79909818
74;Gabon;GAB;Wheat and products;-8.53523707796011e-08
229;United Kingdom;GBR;Wheat and products;730177.844804454
73;Georgia;GEO;Wheat and products;2863.73950590556
81;Ghana;GHA;Wheat and products;-9.5294653352393e-07
90;Guinea;GIN;Wheat and products;-1.74876034547183e-12
75;Gambia;GMB;Wheat and products;-1.68606568834312e-07
175;Guinea-Bissau;GNB;Wheat and products;2.52794729733932e-16
84;Greece;GRC;Wheat and products;475437.511664475
86;Grenada;GRD;Wheat and products;3.48872639426234e-10
89;Guatemala;GTM;Wheat and products;7.59328362347556
91;Guyana;GUY;Wheat and products;-2.47755370214842e-11
96;China, Hong Kong SAR;HKG;Wheat and products;-2.46475547763888e-15
95;Honduras;HND;Wheat and products;8.41225347897665
98;Croatia;HRV;Wheat and products;116809.932616858
93;Haiti;HTI;Wheat and products;-1.05455368910939e-11
97;Hungary;HUN;Wheat and products;411965.01771374
101;Indonesia;IDN;Wheat and products;-3.92501725037214e-07
100;India;IND;Wheat and products;3067.38235999055
104;Ireland;IRL;Wheat and products;21924.1970126188
102;Iran (Islamic Republic of);IRN;Wheat and products;19000.5582545177
103;Iraq;IRQ;Wheat and products;0.187904331869268
99;Iceland;ISL;Wheat and products;1.31455476051628e-07
105;Israel;ISR;Wheat and products;995.008485225075
106;Italy;ITA;Wheat and products;1180136.75610639
109;Jamaica;JAM;Wheat and products;1.05067138597384e-08
112;Jordan;JOR;Wheat and products;2.20448388054905
110;Japan;JPN;Wheat and products;223.183072567189
108;Kazakhstan;KAZ;Wheat and products;94357.8047081505
114;Kenya;KEN;Wheat and products;42.0345505224481
113;Kyrgyzstan;KGZ;Wheat and products;19.1810430143759
115;Cambodia;KHM;Wheat and products;-2.67842022979035e-08
83;Kiribati;KIR;Wheat and products;-1.31647692366014e-09
188;Saint Kitts and Nevis;KNA;Wheat and products;2.2666727078029e-17
117;Republic of Korea;KOR;Wheat and products;60.8947351718708
118;Kuwait;KWT;Wheat and products;0.00116491892803231
120;Lao People's Democratic Republic;LAO;Wheat and products;-2.09534065542149e-09
121;Lebanon;LBN;Wheat and products;89.5346371150818
123;Liberia;LBR;Wheat and products;8.93350505872969e-09
124;Libya;LBY;Wheat and products;7.54415730509316
189;Saint Lucia;LCA;Wheat and products;5.37778108957203e-09
38;Sri Lanka;LKA;Wheat and products;-2.63746167955445e-08
122;Lesotho;LSO;Wheat and products;0.0458861044948482
126;Lithuania;LTU;Wheat and products;97860.6833865573
256;Luxembourg;LUX;Wheat and products;7228.48255318959
119;Latvia;LVA;Wheat and products;85859.3721513942
128;China, Macao SAR;MAC;Wheat and products;0
143;Morocco;MAR;Wheat and products;91.4125724913043
146;Republic of Moldova;MDA;Wheat and products;11789.3206789265
129;Madagascar;MDG;Wheat and products;0.61247905462607
132;Maldives;MDV;Wheat and products;0
138;Mexico;MEX;Wheat and products;11358.6508608765
154;The former Yugoslav Republic of Macedonia;MKD;Wheat and products;1489.23708150981
133;Mali;MLI;Wheat and products;4.35130300607959
134;Malta;MLT;Wheat and products;2690.31830692582
28;Myanmar;MMR;Wheat and products;3.63443846923699
273;Montenegro;MNE;Wheat and products;6.37599381444378
141;Mongolia;MNG;Wheat and products;4.43121508250084
144;Mozambique;MOZ;Wheat and products;0.0142861298123164
136;Mauritania;MRT;Wheat and products;-3.69259249237124e-08
137;Mauritius;MUS;Wheat and products;-5.3232737591034e-09
130;Malawi;MWI;Wheat and products;42.672320229493
131;Malaysia;MYS;Wheat and products;3.35971598973585e-08
147;Namibia;NAM;Wheat and products;0.380576781053582
153;New Caledonia;NCL;Wheat and products;1.58197341824423e-07
158;Niger;NER;Wheat and products;2.82219922326574
159;Nigeria;NGA;Wheat and products;6.09784946245972
157;Nicaragua;NIC;Wheat and products;1.0594721828279e-07
150;Netherlands;NLD;Wheat and products;35851.3659243573
162;Norway;NOR;Wheat and products;620.80645384756
149;Nepal;NPL;Wheat and products;231.798069633527
156;New Zealand;NZL;Wheat and products;9.97056288479645
221;Oman;OMN;Wheat and products;3.19338634139248
165;Pakistan;PAK;Wheat and products;402.003654283246
166;Panama;PAN;Wheat and products;-4.75475941727173e-08
170;Peru;PER;Wheat and products;362.71828141715
171;Philippines;PHL;Wheat and products;-4.25762232952523e-07
168;Papua New Guinea;PNG;Wheat and products;-4.19052826949224e-11
173;Poland;POL;Wheat and products;1125776.16788751
177;Puerto Rico;PRI;Wheat and products;0
116;Democratic People's Republic of Korea;PRK;Wheat and products;-6.27176014073599e-08
174;Portugal;PRT;Wheat and products;19491.0508242464
169;Paraguay;PRY;Wheat and products;66.1337499649775
70;French Polynesia;PYF;Wheat and products;-1.15614788049586e-07
179;Qatar;QAT;Wheat and products;0.00556267667623794
183;Romania;ROU;Wheat and products;658366.856485403
999;RoW;ROW;Wheat and products;2.33209927198687
185;Russian Federation;RUS;Wheat and products;92141.5677447436
184;Rwanda;RWA;Wheat and products;70.7139118352262
194;Saudi Arabia;SAU;Wheat and products;450.295368847765
186;Serbia and Montenegro;SCG;Wheat and products;0
276;Sudan;SDN;Wheat and products;19.3527679117126
195;Senegal;SEN;Wheat and products;-6.65088937273333e-11
200;Singapore;SGP;Wheat and products;-6.60870214897792e-14
25;Solomon Islands;SLB;Wheat and products;-3.24507234544868e-11
197;Sierra Leone;SLE;Wheat and products;5.20310570597662e-14
60;El Salvador;SLV;Wheat and products;4.8678494433954e-08
201;Somalia;SOM;Wheat and products;0.000508320015131212
272;Serbia;SRB;Wheat and products;29697.4891427138
277;South Sudan;SSD;Wheat and products;0
193;Sao Tome and Principe;STP;Wheat and products;6.56516314022751e-12
228;USSR;SUN;Wheat and products;0
207;Suriname;SUR;Wheat and products;-5.97074344984684e-09
199;Slovakia;SVK;Wheat and products;194365.80257333
198;Slovenia;SVN;Wheat and products;26355.9863212802
210;Sweden;SWE;Wheat and products;121075.568954261
209;Swaziland;SWZ;Wheat and products;0.000187283733527592
212;Syrian Arab Republic;SYR;Wheat and products;21.9976633894891
39;Chad;TCD;Wheat and products;-4.23443692117095e-08
217;Togo;TGO;Wheat and products;-1.90591431769751e-10
216;Thailand;THA;Wheat and products;29.2591756711116
208;Tajikistan;TJK;Wheat and products;35.1610202063997
213;Turkmenistan;TKM;Wheat and products;-4.30813610596533e-11
176;Timor-Leste;TLS;Wheat and products;1.36744276332327e-12
220;Trinidad and Tobago;TTO;Wheat and products;4.89134143031913e-13
222;Tunisia;TUN;Wheat and products;1113.39054156165
223;Turkey;TUR;Wheat and products;28002.9761992661
214;China, Taiwan Province of;TWN;Wheat and products;10.7066831368983
215;United Republic of Tanzania;TZA;Wheat and products;691.201550758003
226;Uganda;UGA;Wheat and products;631.148100247896
230;Ukraine;UKR;Wheat and products;5032.5387900102
234;Uruguay;URY;Wheat and products;11617.3958319491
231;United States of America;USA;Wheat and products;169718.64564444
235;Uzbekistan;UZB;Wheat and products;2309.85760920287
191;Saint Vincent and the Grenadines;VCT;Wheat and products;4.37709180220535e-07
236;Venezuela (Bolivarian Republic of);VEN;Wheat and products;0.152864646186097
237;Viet Nam;VNM;Wheat and products;-1.78024264047118e-09
155;Vanuatu;VUT;Wheat and products;7.02913747079789e-08
244;Samoa;WSM;Wheat and products;9.42304989342843e-13
249;Yemen;YEM;Wheat and products;6010.33132528706
248;Yugoslav SFR;YUG;Wheat and products;0
202;South Africa;ZAF;Wheat and products;294.749287710212
251;Zambia;ZMB;Wheat and products;418.016242885488
181;Zimbabwe;ZWE;Wheat and products;14.6536463233042
2;Afghanistan;AFG;Barley and products;-9.74454166121839e-11
7;Angola;AGO;Barley and products;-1.77199435072504e-08
3;Albania;ALB;Barley and products;4.22954560228316e-09
151;Netherlands Antilles;ANT;Barley and products;0
225;United Arab Emirates;ARE;Barley and products;0.000611595245256911
9;Argentina;ARG;Barley and products;0.69084902387349
1;Armenia;ARM;Barley and products;4.69469770162934e-08
8;Antigua and Barbuda;ATG;Barley and products;2.86003389308856e-10
10;Australia;AUS;Barley and products;3963.95260460173
11;Austria;AUT;Barley and products;11363.3543668172
52;Azerbaijan;AZE;Barley and products;-3.71376559258181e-08
29;Burundi;BDI;Barley and products;-2.79412751931839e-17
255;Belgium;BEL;Barley and products;978.623352238852
53;Benin;BEN;Barley and products;1.34593831773891e-08
233;Burkina Faso;BFA;Barley and products;-2.63418279148353e-10
16;Bangladesh;BGD;Barley and products;1.34979896918077e-09
27;Bulgaria;BGR;Barley and products;13934.8918244682
13;Bahrain;BHR;Barley and products;6.75400779322831e-11
12;Bahamas;BHS;Barley and products;-1.09232402294919e-10
80;Bosnia and Herzegovina;BIH;Barley and products;0.00179131400950845
57;Belarus;BLR;Barley and products;0.00419243843471675
15;Belgium-Luxembourg;BLX;Barley and products;0
23;Belize;BLZ;Barley and products;-1.51939359682849e-09
19;Bolivia (Plurinational State of);BOL;Barley and products;0.00119164750093215
21;Brazil;BRA;Barley and products;0.308957001637118
14;Barbados;BRB;Barley and products;7.6124673946925e-08
26;Brunei Darussalam;BRN;Barley and products;-1.02695547211263e-10
20;Botswana;BWA;Barley and products;9.4453697662837e-12
37;Central African Republic;CAF;Barley and products;0
33;Canada;CAN;Barley and products;-1.86636080130766
211;Switzerland;CHE;Barley and products;0.0140686964366476
40;Chile;CHL;Barley and products;2.72376878041127
41;China, mainland;CHN;Barley and products;325.272376142754
107;Côte d'Ivoire;CIV;Barley and products;-6.18949108825427e-10
32;Cameroon;CMR;Barley and products;1.77744627323798e-10
250;Democratic Republic of the Congo;COD;Barley and products;-8.34245458895133e-15
46;Congo;COG;Barley and products;-4.40168819769687e-10
44;Colombia;COL;Barley and products;-0.001126899350395
35;Cabo Verde;CPV;Barley and products;5.70064628519936e-10
48;Costa Rica;CRI;Barley and products;-4.79944164212699e-10
51;Czechoslovakia;CSK;Barley and products;0
49;Cuba;CUB;Barley and products;-4.77581202328436e-10
50;Cyprus;CYP;Barley and products;3372.84097767765
167;Czech Republic;CZE;Barley and products;5721.0942279853
79;Germany;DEU;Barley and products;-79224.053490424
72;Djibouti;DJI;Barley and products;1.05720081121498e-12
55;Dominica;DMA;Barley and products;4.96164535954204e-08
54;Denmark;DNK;Barley and products;30547.7139658982
56;Dominican Republic;DOM;Barley and products;-5.27078962950989e-09
4;Algeria;DZA;Barley and products;0.00172798526450957
58;Ecuador;ECU;Barley and products;-0.439639665347517
59;Egypt;EGY;Barley and products;0.00558647648467934
178;Eritrea;ERI;Barley and products;-6.09507253588592e-09
203;Spain;ESP;Barley and products;238523.187525921
63;Estonia;EST;Barley and products;15132.6233382539
238;Ethiopia;ETH;Barley and products;1.23273672466264e-07
67;Finland;FIN;Barley and products;96077.9835943066
66;Fiji;FJI;Barley and products;-3.58220217307073e-09
68;France;FRA;Barley and products;-148357.549600192
74;Gabon;GAB;Barley and products;-5.83641512111059e-09
229;United Kingdom;GBR;Barley and products;180605.760853466
73;Georgia;GEO;Barley and products;30.5165291319986
81;Ghana;GHA;Barley and products;1.86008887158241e-07
90;Guinea;GIN;Barley and products;-4.30401451202234e-13
75;Gambia;GMB;Barley and products;-2.18398224931092e-08
